name,brand,category,madeIn,description,imageUrl
Boga Limonade,Boga,Boissons,Tunisie,Boisson gazeuse tunisienne traditionnelle,/images/boga.jpg
Vitalait Lait,Vitalait,Produits Laitiers,Tunisie,Lait frais 100% tunisien,/images/vitalait.jpg
Délice Yaourt,Délice Danone,Produits Laitiers,Tunisie,Yaourt naturel fabriqué en Tunisie,/images/delice.jpg
Caffè Moka,Moka,Café,Tunisie,Café torréfié en Tunisie,/images/moka.jpg
Chocolat Candy,Candy,Chocolat,Tunisie,Chocolat tunisien artisanal,/images/candy.jpg
Chips Tunisie,Chips Tunisie,Snacks,Tunisie,Chips de pommes de terre locales,/images/chips.jpg
Huile Oléor,Oléor,Huile,Tunisie,Huile d'olive extra vierge,/images/oleor.jpg
Thon Mabrouka,Mabrouka,Conserves,Tunisie,Thon en conserve de la mer tunisienne,/images/mabrouka.jpg
Couscous Ferrero,Ferrero,Pâtes,Tunisie,Couscous traditionnel tunisien,/images/couscous.jpg
Eau Safia,Safia,Boissons,Tunisie,Eau minérale naturelle,/images/safia.jpg
